iter	Passed	Remaining
624	13532	8119
625	13552	8096
626	13573	8074
627	13595	8053
628	13615	8030
629	13635	8007
630	13654	7985
631	13682	7967
632	13702	7944
633	13723	7922
634	13743	7899
635	13763	7877
636	13790	7858
637	13810	7836
638	13833	7815
639	13853	7792
640	13876	7771
641	13896	7749
642	13916	7726
643	13936	7704
644	13957	7681
645	13980	7661
646	14003	7640
647	14023	7617
648	14043	7595
649	14064	7573
650	14088	7552
651	14109	7530
652	14129	7508
653	14150	7486
654	14172	7465
655	14195	7444
656	14216	7421
657	14236	7399
658	14256	7377
659	14277	7355
660	14298	7333
661	14318	7310
662	14339	7288
663	14360	7266
664	14381	7244
665	14403	7223
666	14423	7201
667	14443	7178
668	14464	7156
669	14487	7135
670	14507	7113
671	14534	7094
672	14554	7071
673	14576	7050
674	14599	7029
675	14620	7007
676	14640	6985
677	14660	6962
678	14681	6940
679	14702	6918
680	14723	6897
681	14746	6875
682	14766	6853
683	14796	6835
684	14816	6813
685	14837	6791
686	14857	6769
687	14879	6747
688	14899	6725
689	14920	6703
690	14940	6680
691	14960	6658
692	14985	6638
693	15020	6622
694	15042	6601
695	15063	6579
696	15086	6558
697	15107	6536
698	15128	6514
699	15148	6492
700	15168	6469
701	15190	6448
702	15213	6427
703	15233	6405
704	15254	6383
705	15274	6360
706	15297	6339
707	15318	6317
708	15338	6295
709	15357	6272
710	15381	6251
711	15401	6229
712	15426	6209
713	15446	6187
714	15465	6164
715	15488	6143
716	15509	6121
717	15529	6099
718	15549	6077
719	15569	6054
720	15592	6033
721	15616	6012
722	15636	5990
723	15656	5968
724	15675	5946
725	15699	5925
726	15719	5903
727	15742	5881
728	15762	5859
729	15784	5838
730	15807	5816
731	15827	5794
732	15847	5772
733	15868	5750
734	15890	5729
735	15910	5707
736	15930	5684
737	15951	5662
738	15971	5640
739	15994	5619
740	16017	5598
741	16044	5578
742	16065	5556
743	16086	5535
744	16106	5512
745	16126	5490
746	16146	5468
747	16166	5446
748	16189	5425
749	16210	5403
750	16233	5382
751	16254	5360
752	16274	5338
753	16297	5317
754	16322	5296
755	16342	5274
756	16363	5252
757	16386	5231
758	16406	5209
759	16429	5188
760	16449	5166
761	16470	5144
762	16494	5123
763	16514	5101
764	16534	5079
765	16554	5057
766	16574	5034
767	16597	5013
768	16618	4992
769	16639	4970
770	16659	4948
771	16679	4926
772	16706	4905
